name,title,company,website,linkedin_url,industry,pain_point
Greg Friedman,Director of Patient Care Services,BioPlus Specialty Pharmacy,https://bioplusrx.com,http://www.linkedin.com/in/greg-friedman-4a70096,pharmaceuticals,
Chrissy Wesley,Director of Patient Care Services,UVM Health - Porter Medical Center,https://portermedical.org,http://www.linkedin.com/in/chrissy-wesley-995b6a77,hospital & health care,
Nancy Schmid,"Associate Director, Patient Care Services",Coatesville VA Medical Center,https://va.gov,http://www.linkedin.com/in/nancy-schmid-3040102b,hospital & health care,
Naomi Bowens,Director of Patient Care Services,"Eden Health (Home Health, Hospice, Home Care)",https://eden-health.com,http://www.linkedin.com/in/naomi-bowens-a537b3202,hospital & health care,
Brandy Feliu,Senior Director Patient Care Services,"Huntington Hospital, NY",https://northwell.edu,http://www.linkedin.com/in/brandy-feliu-6458a177,hospital & health care,
Willa Rousseau,Senior Director of Patient Care Services,McLaren Bay Region,https://mclaren.org,http://www.linkedin.com/in/willa-rousseau-88a82419,hospital & health care,
Paulette Sheeley,Director of Patient Care Services,Centers for Dialysis Care,https://cdcare.org,http://www.linkedin.com/in/paulette-sheeley-39486a11,hospital & health care,
Averyl Blake-Fraites,Interim Director of Patient Care Services,AMN Healthcare Leadership Solutions,https://amnhealthcare.com,http://www.linkedin.com/in/averyl-blake-fraites-mba-bsn-rn-ccrn-nea-bc-76655532,hospital & health care,
Jennifer Siragusa,Director of Patient Care Services,Bertrand Chaffee Hospital and Jennie B. Richmond Nursing Home,https://bertrandchaffee.com,http://www.linkedin.com/in/jennifer-siragusa-b97a92242,hospital & health care,
Lynn Turnbull,Director Patient Care Services,The Aroostook Medical Center,https://tamc.org,http://www.linkedin.com/in/lynn-turnbull-9073b964,hospital & health care,
